"chat","yhat"
0,16.0578411383469
0,14.822575806677
0,16.8031530457609
0,10.314183326651
0,14.4830284909703
1,16.3166181412684
0,15.9182665729598
0,14.9070614466889
0,10.6718328000227
0,17.3076270143879
0,10.9415053952422
0,13.6813818165326
0,13.1221665898727
0,14.2190424350687
0,14.790548528755
0,13.6794986583426
0,14.9417653024778
0,14.7834996475992
1,13.8805207185624
1,13.2037639279826
0,11.1017838534449
0,10.6039369145134
0,16.7310790571868
0,14.7311308022368
0,14.2143798659335
1,13.9479475451727
0,14.8251612924922
0,14.1899140473698
0,14.1343778424183
0,11.418426386645
0,14.112918847969
0,17.1463207110911
0,12.4534638275743
0,11.8677745220694
0,14.2712313291294
0,14.0496451447105
0,10.341220805064
0,12.7397912369634
0,11.6884211356883
0,13.5861910747255
0,17.2822260005461
0,13.7288824548497
0,16.0162891452349
0,10.7835426129628
0,11.3135460891917
0,13.4061833510647
0,12.4427674192831
0,12.9774018165648
0,14.781255883474
0,14.6365951524843
0,14.9496782532111
0,14.2253520227234
0,15.1498825025837
0,11.2618094982957
0,12.0510323446736
0,12.7102163835736
0,9.75394585143337
1,13.3490313049227
0,12.4826574806281
0,14.0138410477515
1,13.425849982819
1,12.7444253976572
0,12.6498484106463
0,13.152406283838
0,13.4338376158924
0,13.8907818369415
0,10.8234274384575
0,15.0012288653142
0,14.2262435572427
0,11.3485961473904
1,18.2749824388434
0,12.7568552733016
1,15.8511471379808
1,17.320184081192
0,12.7962360085671
0,15.1720357501982
0,12.7865547236075
1,15.0486853389691
0,12.5659510332003
0,15.2048472735754
0,15.4817643572538
0,9.86679531965112
0,13.6654523773424
0,13.4949543957405
0,15.3081407887509
0,10.7990083840808
0,13.4405859424424
0,15.2348561960169
0,16.1474746903166
0,16.0370111536133
0,15.5436122902257
0,18.3152976917912
0,13.2164815744219
0,15.625148715387
0,14.7383047676727
0,17.2040399170221
0,14.1225725233786
0,15.8678729639369
1,16.6370705090554
0,14.4603796921124
0,12.6488742126514
1,19.5279011214308
0,14.0073219365023
0,13.4677191736595
0,13.9884875233962
0,16.8700867787343
0,14.2304036174717
0,15.2079974153723
0,14.4290242475525
0,14.4344842515254
0,15.9683091912889
0,12.2799865863957
0,11.2341603634553
1,13.6079157518509
0,13.9433278122957
0,12.3925260996248
0,11.4290265332778
0,13.1428741200958
0,12.8642645198406
0,11.8643611784313
0,11.974818348915
0,13.6440792009463
0,13.2212381484482
0,11.6969142520287
0,15.4675638057188
0,13.0242068418915
1,13.5594532805016
1,16.1559269105196
0,13.8527705433596
0,10.7530603978968
0,11.6758651145143
0,16.7311609406989
0,13.8905880850969
1,13.9349802166755
0,12.3354366827385
0,13.2715339063975
0,13.2818304092012
0,15.8569875388701
0,14.9737366351461
0,14.3257886518099
0,13.1986544913365
0,9.28131868427224
1,15.0561608991391
0,14.837644020028
0,16.7058899622069
0,17.4040807440216
0,12.2263072954091
0,12.6360962454475
0,16.3058971049916
1,14.9492877482263
0,13.4597441689246
